date,asset,open,high,low,close,volume,turnover,trailing-high,trailing-ago,prct-decline,trailing-max-decline,idx,trailing-high-idx,date-instant,trailing-high-date,setup,signal,initial,px0,px5,px10,px20,px40,category,pl
2025-12-15 00:00:00+00:00,AXS,104.85,106.61,104.45,106.46,232551,2.4757379459999997E7,107.18,132,-0.02547116999440202,-0.17787833551035648,1917,1785,2025-12-15T00:00Z,2025-06-06T00:00Z,true,true,true,107.14,108.96,108.76,100.25,106.46,Stock,-0.005182004853462763
2024-01-18 00:00:00+00:00,AZO,2658.18,2724.0,2652.88,2722.98,43967,1.1972126166E8,2750.11,173,-0.03535494943838613,-0.17094225321896217,1438,1265,2024-01-18T00:00Z,2023-05-10T00:00Z,true,true,true,2746.44,2748.61,2798.15,2724.88,3124.33,Stock,-0.0015485501230684262
2024-12-05 00:00:00+00:00,AZO,3199.89,3237.88,3183.01,3190.07,42730,1.363116911E8,3256.37,178,-0.02252815251338136,-0.1622573601894134,1661,1483,2024-12-05T00:00Z,2024-03-22T00:00Z,true,true,true,3309.44,3340.48,3215.29,3293.46,3474.08,Stock,-0.010808354283504129
2019-03-13 00:00:00+00:00,BAC PRL,1303.0,1304.96,1302.97,1303.0,1540,2006620.0,1308.94,131,-0.004560942441976024,-0.05089614497226769,217,86,2019-03-13T00:00Z,2018-08-31T00:00Z,true,true,true,1307.0,1306.5,1321.34,1316.7,1324.92,,0.013710788064269286
2025-09-12 00:00:00+00:00,BAC PRL,1280.0,1285.0,1280.0,1284.0,1024,1314816.0,1293.99,239,-0.010811520954566944,-0.11127597585761873,1852,1613,2025-09-12T00:00Z,2024-09-27T00:00Z,true,true,true,1287.0,1289.94,1282.5,1247.05,1257.69,,-0.023426573426573505
2018-11-23 00:00:00+00:00,BCE,42.04,42.36,41.98,42.22,132879,5610151.38,42.75,129,-0.018011695906432812,-0.09333333333333338,144,15,2018-11-23T00:00Z,2018-05-22T00:00Z,true,true,true,42.91,42.88,42.31,39.32,41.86,Stock,-0.033703099510603574
2021-11-26 00:00:00+00:00,BERY,65.55,67.0,65.01,66.47,232650,1.54642455E7,70.89,135,-0.08294540837917896,-0.16954702565035473,901,766,2021-11-26T00:00Z,2021-05-17T00:00Z,true,true,true,71.61,70.04,71.97,71.61,67.77,,-0.019999999999999907
2019-02-14 00:00:00+00:00,BHP,51.55,52.17,51.47,51.97,468045,2.432429865E7,52.61,136,-0.021668884242539432,-0.17905341189887858,199,63,2019-02-14T00:00Z,2018-07-31T00:00Z,true,true,true,52.76,54.3,52.51,52.12,56.83,Stock,0.008605003790750576
2020-01-21 00:00:00+00:00,BKH,80.99,81.49,80.75,81.45,184529,1.502988705E7,82.0,144,-0.015243902439024404,-0.1428048780487804,433,289,2020-01-21T00:00Z,2019-06-25T00:00Z,true,true,true,82.06,82.85,83.03,84.84,50.93,Stock,0.013200097489641793
2025-10-22 00:00:00+00:00,BKH,64.94,65.42,64.16,65.25,329867,2.152382175E7,65.59,226,-0.021802103979265186,-0.16191492605580127,1880,1654,2025-10-22T00:00Z,2024-11-25T00:00Z,true,true,true,65.45,63.77,64.75,69.69,68.93,Stock,-0.019999999999999907
2018-08-01 00:00:00+00:00,BLL,38.93,39.6,38.84,39.33,1080011,4.2476832629999995E7,40.05,299,-0.030212234706616603,-0.1333333333333333,64,0,2018-08-01T00:00Z,2018-05-01T00:00Z,true,true,true,40.53,41.46,40.11,41.84,44.14,,0.00248704663212429
2019-11-22 00:00:00+00:00,BMI,60.72,60.86,60.01,60.05,68663,4123213.15,61.62,191,-0.02612788055826032,-0.1936059720869847,395,204,2019-11-22T00:00Z,2019-02-22T00:00Z,true,true,true,61.39,61.14,61.59,65.69,62.81,Stock,0.04864310148232609
2021-12-07 00:00:00+00:00,BMI,108.73,110.65,108.35,109.47,45529,4984059.63,111.29,196,-0.026417467876718614,-0.1975918770779046,908,712,2021-12-07T00:00Z,2021-03-01T00:00Z,true,true,true,110.76,105.85,103.47,101.14,100.37,Stock,-0.019999999999999907
2019-02-15 00:00:00+00:00,BMS,52.42,52.94,52.23,52.94,214248,1.134228912E7,53.0,134,-0.01452830188679255,-0.18905660377358502,200,66,2019-02-15T00:00Z,2018-08-03T00:00Z,true,true,true,52.96,53.46,52.97,53.04,56.66,,0.06986404833836857
2025-08-27 00:00:00+00:00,BRC,76.5,77.68,75.88,77.45,121228,9389108.6,77.72,197,-0.023674729799279537,-0.18939783839423574,1841,1644,2025-08-27T00:00Z,2024-11-11T00:00Z,true,true,true,77.59,82.75,79.88,76.85,78.46,Stock,0.045173347080809334
2019-12-11 00:00:00+00:00,BRK A,331424.0,333900.0,331424.0,333600.0,106,3.53616E7,335900.0,295,-0.013325394462637696,-0.1664185769574278,407,112,2019-12-11T00:00Z,2018-10-09T00:00Z,true,true,true,338800.0,337500.0,339650.0,340185.0,340361.0,,0.004607438016528853
2021-12-13 00:00:00+00:00,BRK A,435000.0,439273.7,430974.0,437730.0,129,5.646717E7,445000.0,152,-0.03151910112359546,-0.14225684744102995,912,760,2021-12-13T00:00Z,2021-05-07T00:00Z,true,true,true,446104.0,437444.99,449570.11,480340.0,483900.0,,0.08472463820095766
2025-02-21 00:00:00+00:00,BRK A,720710.0,724800.0,717000.0,718750.0,49,3.521875E7,741971.39,180,-0.03365546210616022,-0.1813938809689145,1712,1532,2025-02-21T00:00Z,2024-06-03T00:00Z,true,true,true,747485.49,774999.99,742901.0,781680.0,760489.0,,0.01607322196983385
2019-12-11 00:00:00+00:00,BRK B,221.21,222.65,221.01,222.57,1900459,4.2298515963E8,224.07,294,-0.01365644664613741,-0.1692774579372518,407,113,2019-12-11T00:00Z,2018-10-10T00:00Z,true,true,true,225.92,225.01,226.45,226.62,227.11,,0.005267351274787613
2021-11-05 00:00:00+00:00,BRK B,288.79,290.69,286.82,287.88,1111500,3.1997862E8,295.07,126,-0.027959467245060488,-0.1457685664939551,887,761,2021-11-05T00:00Z,2021-05-10T00:00Z,true,true,true,288.8,285.99,279.99,281.38,308.53,,-0.029535318559556822
2019-04-22 00:00:00+00:00,BRO,30.44,30.57,30.22,30.51,472386,1.4412496860000001E7,31.53,149,-0.04154773231842701,-0.1839517919441802,244,95,2019-04-22T00:00Z,2018-09-14T00:00Z,true,true,true,31.57,31.55,32.46,31.49,32.74,Stock,0.007627494456762696
2018-07-05 00:00:00+00:00,BSMX,7.04,7.39,6.89,7.34,387153,2841703.02,7.39,299,-0.06765899864682001,-0.15020297699594043,45,0,2018-07-05T00:00Z,2018-05-01T00:00Z,true,true,true,7.63,7.82,7.88,8.16,7.78,,0.04807339449541281
2018-06-25 00:00:00+00:00,BWP,10.15,11.18,9.95,10.73,433307,4649384.11,11.3,299,-0.11946902654867264,-0.19469026548672574,38,0,2018-06-25T00:00Z,2018-05-01T00:00Z,true,true,true,11.67,12.02,12.05,10.73,10.73,,0.011910882604970086
2024-09-20 00:00:00+00:00,BWXT,99.95,102.99,99.09,102.84,1182650,1.21623726E8,107.09,138,-0.074703520403399,-0.19049397702866755,1608,1470,2024-09-20T00:00Z,2024-03-05T00:00Z,true,true,true,105.62,108.59,117.71,126.21,126.25,Stock,0.1953228555197879
2020-01-16 00:00:00+00:00,BXP,137.69,139.29,137.56,139.28,222056,3.092795968E7,140.35,180,-0.019878874242963973,-0.18709045718159223,431,251,2020-01-16T00:00Z,2019-05-01T00:00Z,true,true,true,139.56,142.01,143.35,147.23,96.93,Stock,0.033859271997706886
2019-06-17 00:00:00+00:00,C PRK,27.8,27.93,27.77,27.84,20714,576677.76,28.04,237,-0.00962910128388017,-0.09593437945791716,283,46,2019-06-17T00:00Z,2018-07-06T00:00Z,true,true,true,28.13,27.55,27.51,28.24,28.23,,-0.020000000000000018
2021-06-14 00:00:00+00:00,C PRK,28.75,28.75,28.55,28.75,28007,805201.25,28.78,130,-0.007991660875608098,-0.1533196440793977,715,585,2021-06-14T00:00Z,2020-12-04T00:00Z,true,true,true,28.83,28.67,28.55,28.43,27.84,,-0.03359694762400278
2019-03-26 00:00:00+00:00,C PRN,26.95,27.13,26.95,27.11,140219,3801337.09,27.25,167,-0.011009174311926606,-0.04954128440366978,226,59,2019-03-26T00:00Z,2018-07-25T00:00Z,true,true,true,27.34,27.46,27.55,27.62,27.26,,-0.002926115581565414
2022-11-09 00:00:00+00:00,C PRN,27.48,27.86,27.48,27.77,71997,1999356.69,28.27,299,-0.027944817828086332,-0.08715277777777786,1141,842,2022-11-09T00:00Z,2021-09-02T00:00Z,true,true,true,28.07,28.38,28.33,28.54,28.96,,0.031706448165301104
2024-03-28 00:00:00+00:00,C PRN,29.38,29.52,29.38,29.47,88279,2601582.13,29.54,234,-0.005416384563303955,-0.08777969018932874,1487,1253,2024-03-28T00:00Z,2023-04-24T00:00Z,true,true,true,29.55,29.75,29.64,29.11,29.35,,-0.006768189509306244
2024-02-08 00:00:00+00:00,CACI,351.15,356.0,351.15,355.36,50413,1.791476368E7,358.86,128,-0.02148470155492399,-0.16095413253079194,1453,1325,2024-02-08T00:00Z,2023-08-07T00:00Z,true,true,true,360.84,362.56,369.36,374.16,378.64,Stock,0.04932934264493971
2024-10-31 00:00:00+00:00,CAH,107.66,109.03,107.06,108.52,1416394,1.5370707688E8,116.09,161,-0.07778447756051343,-0.19743302610043933,1637,1476,2024-10-31T00:00Z,2024-03-13T00:00Z,true,true,true,116.13,118.22,121.29,122.24,117.92,Stock,0.03156118143459907
2019-03-29 00:00:00+00:00,CB,139.75,140.18,139.17,140.08,821099,1.1501954792000002E8,141.18,131,-0.014237144071398311,-0.1529961750956227,229,98,2019-03-29T00:00Z,2018-09-19T00:00Z,true,true,true,141.46,137.59,139.17,143.63,146.46,Stock,-0.02000000000000013
2025-12-10 00:00:00+00:00,CB,301.65,303.78,295.18,296.54,854653,2.5343880062E8,306.91,173,-0.0382196735199245,-0.16511058137994983,1914,1741,2025-12-10T00:00Z,2025-04-03T00:00Z,true,true,true,305.98,312.96,313.32,306.81,296.54,Stock,0.003508726060526657
2018-07-06 00:00:00+00:00,CBM,52.4,54.15,51.9,54.1,81554,4412071.4,54.4,299,-0.045955882352941124,-0.17371323529411753,46,0,2018-07-06T00:00Z,2018-05-01T00:00Z,true,true,true,55.1,55.15,56.05,63.75,67.4,,0.22323049001814899
2019-05-02 00:00:00+00:00,CBU,65.2,66.16,65.2,65.87,72495,4775245.65,67.04,174,-0.027446300715990524,-0.1875000000000001,252,78,2019-05-02T00:00Z,2018-08-21T00:00Z,true,true,true,67.26,65.68,64.93,61.81,65.84,Stock,-0.02000000000000013
2019-03-12 00:00:00+00:00,CCI PRA,1146.38,1150.3,1146.2,1148.98,154,176942.92,1152.12,208,-0.005138353643717508,-0.1237544700204839,211,3,2019-03-12T00:00Z,2018-05-04T00:00Z,true,true,true,1156.73,1159.75,1168.54,1197.97,1143.57,,0.014939182004443552
2018-10-02 00:00:00+00:00,CCK,47.59,48.89,47.34,48.77,424884,2.072159268E7,49.57,299,-0.04498688723017952,-0.19124470445834163,107,0,2018-10-02T00:00Z,2018-05-01T00:00Z,true,true,true,49.51,48.76,47.89,42.56,50.24,Stock,-0.05206624924257719
